open,high,low,close,date,volume
3433.42,3460.04,3390.01,3421.4,02-03-2024 00:00,283984.9448
3421.39,3491.8,3360.0,3487.81,03-03-2024 00:00,341631.531
3487.8,3640.94,3423.78,3627.76,04-03-2024 00:00,715360.6361
3627.75,3822.04,3200.0,3553.65,05-03-2024 00:00,1392904.864
3553.66,3900.0,3499.4,3818.59,06-03-2024 00:00,969494.71
3818.58,3933.81,3735.0,3868.76,07-03-2024 00:00,540780.675
3868.76,3993.75,3820.0,3883.36,08-03-2024 00:00,646399.2589
3883.37,3942.0,3870.01,3905.21,09-03-2024 00:00,254839.1386
3905.2,3964.67,3791.26,3878.47,10-03-2024 00:00,356664.68
3878.47,4086.23,3722.95,4064.8,11-03-2024 00:00,721554.5139
4064.8,4093.92,3828.98,3979.96,12-03-2024 00:00,632787.3941
3979.97,4083.0,3932.23,4004.79,13-03-2024 00:00,482305.7766
4004.79,4010.98,3723.0,3881.7,14-03-2024 00:00,648237.5245
3881.69,3934.02,3570.0,3742.19,15-03-2024 00:00,947537.4071
3742.19,3781.12,3468.8,3523.09,16-03-2024 00:00,548288.1569
3523.09,3678.68,3412.0,3644.71,17-03-2024 00:00,517790.9936
3644.7,3645.02,3454.09,3520.46,18-03-2024 00:00,570901.2851
3520.47,3548.09,3150.88,3158.64,19-03-2024 00:00,1049629.6936
3158.65,3535.24,3056.56,3516.53,20-03-2024 00:00,1207322.8201
3516.53,3587.32,3412.0,3492.85,21-03-2024 00:00,602755.2072
3492.84,3542.52,3250.0,3336.35,22-03-2024 00:00,558848.888
3336.35,3435.48,3270.08,3329.53,23-03-2024 00:00,323675.9448
3329.53,3471.22,3298.76,3454.98,24-03-2024 00:00,260824.1408
3454.99,3666.0,3420.12,3590.42,25-03-2024 00:00,548577.6942
3590.43,3678.86,3542.62,3587.33,26-03-2024 00:00,499013.8384
3587.32,3665.84,3460.02,3501.19,27-03-2024 00:00,443195.3297
3501.2,3611.78,3465.0,3560.49,28-03-2024 00:00,404654.0311
3560.49,3584.37,3445.91,3509.74,29-03-2024 00:00,323086.179
3509.74,3565.81,3485.0,3505.64,30-03-2024 00:00,216025.2634
3505.65,3655.32,3505.09,3645.29,31-03-2024 00:00,243464.9877
3645.29,3645.95,3413.71,3503.8,01-04-2024 00:00,408854.1225
3503.8,3505.6,3212.0,3278.96,02-04-2024 00:00,623264.6476
3278.96,3367.4,3202.79,3310.83,03-04-2024 00:00,410484.1933
3310.83,3443.93,3250.92,3327.4,04-04-2024 00:00,356338.5716
3327.39,3350.0,3210.0,3317.85,05-04-2024 00:00,344556.7983
3317.85,3398.42,3306.68,3351.59,06-04-2024 00:00,183312.2125
3351.59,3459.94,3344.08,3454.2,07-04-2024 00:00,210459.0752
3454.2,3730.71,3406.36,3694.61,08-04-2024 00:00,496841.3532
3694.61,3727.34,3450.46,3506.39,09-04-2024 00:00,457592.252
3506.4,3562.95,3411.82,3545.64,10-04-2024 00:00,389404.9055
3545.64,3618.3,3474.52,3502.52,11-04-2024 00:00,338139.5534
3502.52,3552.4,3100.0,3237.43,12-04-2024 00:00,697327.1174
3237.42,3301.9,2852.0,3007.01,13-04-2024 00:00,994971.2354
3007.01,3174.23,2906.73,3155.11,14-04-2024 00:00,737580.4666
3155.11,3277.85,3023.19,3101.99,15-04-2024 00:00,605430.8863
3102.0,3128.01,2986.0,3084.22,16-04-2024 00:00,526113.855
3084.21,3123.75,2914.47,2985.41,17-04-2024 00:00,491897.5661
2985.41,3094.4,2950.98,3064.4,18-04-2024 00:00,389060.7133
3064.4,3128.89,2865.18,3056.46,19-04-2024 00:00,607850.4019
3056.45,3171.88,3018.75,3155.79,20-04-2024 00:00,242577.6371
3155.79,3197.18,3116.49,3147.67,21-04-2024 00:00,219970.5072
3147.66,3235.0,3129.15,3200.2,22-04-2024 00:00,290879.9569
3200.19,3263.61,3152.0,3219.46,23-04-2024 00:00,253914.2263
3219.46,3293.56,3104.9,3140.8,24-04-2024 00:00,393314.3414
3140.79,3191.64,3072.2,3155.8,25-04-2024 00:00,352288.5502
3155.81,3167.7,3102.0,3131.3,26-04-2024 00:00,252522.655
3131.3,3285.0,3066.74,3255.56,27-04-2024 00:00,323811.1919
3255.55,3357.4,3250.45,3263.45,28-04-2024 00:00,304766.009
3263.44,3286.95,3115.13,3216.73,29-04-2024 00:00,421831.2912
3216.74,3250.95,2921.0,3014.05,30-04-2024 00:00,561717.4866
3014.04,3023.24,2817.0,2972.46,01-05-2024 00:00,624963.7773
2972.46,3016.72,2893.26,2986.19,02-05-2024 00:00,365939.7191
2986.19,3126.99,2958.32,3102.61,03-05-2024 00:00,355825.8391
3102.61,3168.0,3092.85,3117.23,04-05-2024 00:00,196263.9488
3117.24,3171.93,3072.99,3136.41,05-05-2024 00:00,218760.2662
3136.4,3221.4,3046.35,3062.6,06-05-2024 00:00,355135.3027
3062.59,3129.85,2998.0,3005.69,07-05-2024 00:00,298796.6829
3005.69,3038.15,2936.48,2974.21,08-05-2024 00:00,266934.8125
2974.2,3059.0,2950.77,3036.23,09-05-2024 00:00,238561.7462
3036.24,3053.89,2878.03,2909.99,10-05-2024 00:00,327855.8758
2909.98,2945.67,2886.46,2912.45,11-05-2024 00:00,138163.1087
2912.45,2955.2,2901.17,2929.29,12-05-2024 00:00,107670.6323
2929.3,2996.4,2864.76,2950.99,13-05-2024 00:00,368664.7648
2950.99,2960.6,2862.0,2881.93,14-05-2024 00:00,269675.3037
2881.93,3041.36,2863.75,3032.55,15-05-2024 00:00,350254.3188
3032.55,3041.24,2922.8,2944.7,16-05-2024 00:00,293874.1513
2944.7,3120.0,2933.06,3092.01,17-05-2024 00:00,357724.7731
3092.0,3146.98,3083.61,3122.94,18-05-2024 00:00,199976.5456
3122.94,3136.64,3053.38,3071.19,19-05-2024 00:00,166145.0102
3071.2,3694.0,3047.67,3661.78,20-05-2024 00:00,847107.8828
3661.79,3841.54,3624.28,3789.6,21-05-2024 00:00,952437.2694
3789.59,3813.69,3653.15,3737.73,22-05-2024 00:00,574938.3099
3737.72,3949.29,3498.0,3783.61,23-05-2024 00:00,1127866.076
3783.6,3829.61,3626.1,3728.28,24-05-2024 00:00,479418.4318
3728.28,3779.43,3709.03,3749.26,25-05-2024 00:00,158711.8992
3749.25,3884.2,3731.17,3826.47,26-05-2024 00:00,292208.2937
3826.47,3977.0,3823.37,3894.22,27-05-2024 00:00,363717.6473
3894.21,3931.09,3773.9,3844.69,28-05-2024 00:00,416249.8344
3844.69,3888.55,3742.59,3767.43,29-05-2024 00:00,334759.6348
3767.44,3825.35,3702.58,3747.91,30-05-2024 00:00,277034.2894
3747.9,3849.94,3723.75,3762.29,31-05-2024 00:00,273406.766
3762.29,3833.3,3752.67,3815.82,01-06-2024 00:00,132687.2006
3815.82,3838.59,3752.62,3780.91,02-06-2024 00:00,210295.4407
3780.92,3849.99,3758.43,3767.06,03-06-2024 00:00,248848.702
3767.07,3831.65,3730.0,3810.23,04-06-2024 00:00,232063.7468
3810.23,3887.47,3777.33,3865.99,05-06-2024 00:00,273738.6035
3866.0,3878.6,3760.0,3813.46,06-06-2024 00:00,237504.1905
3813.47,3841.39,3600.0,3678.32,07-06-2024 00:00,362223.3594
3678.31,3709.5,3660.08,3681.57,08-06-2024 00:00,140550.8394
3681.58,3721.52,3666.36,3706.4,09-06-2024 00:00,103451.102
3706.4,3713.67,3642.74,3667.85,10-06-2024 00:00,156363.1846
3667.85,3673.0,3432.0,3497.33,11-06-2024 00:00,439568.5978
3497.33,3659.01,3462.07,3560.12,12-06-2024 00:00,387043.774
3560.13,3561.65,3428.0,3469.4,13-06-2024 00:00,300230.8299
3469.4,3532.61,3362.26,3481.8,14-06-2024 00:00,322316.4214
3481.8,3594.39,3473.1,3568.74,15-06-2024 00:00,246649.5894
3568.75,3653.79,3541.05,3624.41,16-06-2024 00:00,149839.982
3624.41,3638.37,3463.39,3511.46,17-06-2024 00:00,337805.6402
3511.47,3517.2,3355.0,3483.42,18-06-2024 00:00,449913.3014
3483.42,3590.01,3465.65,3560.51,19-06-2024 00:00,321500.0027
3560.51,3625.96,3486.0,3513.08,20-06-2024 00:00,329117.8453
3513.08,3547.55,3446.82,3518.5,21-06-2024 00:00,342155.102
